phrase,freq,rank,prefill
diva cup,3,180,UNLEVELLED
divide and conquer,3,181,UNLEVELLED
dixie cup,3,182,UNLEVELLED
dixie cups,3,183,UNLEVELLED
doggy style,3,184,C1
double napoleon,3,185,UNLEVELLED
double napoleons,3,186,UNLEVELLED
down east,3,187,A2
dragon man,3,188,UNLEVELLED
drop dead,3,189,UNLEVELLED
dum dum,3,190,UNLEVELLED
durn tooting,3,191,UNLEVELLED
early doors,3,192,UNLEVELLED
earth bath,3,193,UNLEVELLED
earth surface person,3,194,UNLEVELLED
east frisian,3,195,A2
east northeast,3,196,A2
east southeast,3,197,A2
eat shit,3,198,UNLEVELLED
elemental magic,3,199,B1
en passant,3,200,UNLEVELLED
en suite,3,201,UNLEVELLED
esafety commissioner,3,202,UNLEVELLED
eternal september,3,203,UNLEVELLED
even steven,3,204,UNLEVELLED
evening star,3,205,UNLEVELLED
ever since,3,206,UNLEVELLED
every second,3,207,UNLEVELLED
ex tempore,3,208,UNLEVELLED
expletive deleted,3,209,UNLEVELLED
face down,3,210,UNLEVELLED
fairy nuff,3,211,UNLEVELLED
fast track,3,212,UNLEVELLED
fed up,3,213,UNLEVELLED
feng shui,3,214,UNLEVELLED
fill in the blanks,3,215,UNLEVELLED
first and last,3,216,UNLEVELLED
first day,3,217,UNLEVELLED
flat stick,3,218,C2
forest green,3,219,UNLEVELLED
forty four,3,220,UNLEVELLED
franklin county,3,221,UNLEVELLED
free state,3,222,UNLEVELLED
french canadian,3,223,UNLEVELLED
fruit loops,3,224,UNLEVELLED
fuck all,3,225,UNLEVELLED
fuck up,3,226,UNLEVELLED
fucked up,3,227,UNLEVELLED
full stop,3,228,UNLEVELLED
game on,3,229,UNLEVELLED
game over,3,230,UNLEVELLED
gay village,3,231,UNLEVELLED
get it,3,232,UNLEVELLED
ghost dance,3,233,UNLEVELLED
girl friday,3,234,A2
girl scouts,3,235,A2
give face,3,236,UNLEVELLED
gnab gib,3,237,UNLEVELLED
go on,3,238,UNLEVELLED
god willing,3,239,UNLEVELLED
godi media,3,240,UNLEVELLED
godi medias,3,241,UNLEVELLED
good morning,3,242,UNLEVELLED
good times,3,243,UNLEVELLED
google translate,3,244,UNLEVELLED
google translated,3,245,UNLEVELLED
google translates,3,246,UNLEVELLED
google translating,3,247,UNLEVELLED
grade grubbing,3,248,B2
grass tops,3,249,UNLEVELLED
great russian,3,250,UNLEVELLED
great wall,3,251,UNLEVELLED
grecs du roi,3,252,UNLEVELLED
green acres,3,253,UNLEVELLED
green goddess,3,254,UNLEVELLED
green rush,3,255,UNLEVELLED
green rushes,3,256,UNLEVELLED
gretna green,3,257,UNLEVELLED
ground out,3,258,B2
groundhog day,3,259,UNLEVELLED
guest star,3,260,UNLEVELLED
gut shot,3,261,UNLEVELLED
hai lok hong,3,262,UNLEVELLED
half and half,3,263,UNLEVELLED
hamburger helper,3,264,UNLEVELLED
han river,3,265,UNLEVELLED
hands off,3,266,UNLEVELLED
happy meal,3,267,B1
happy meals,3,268,UNLEVELLED
head cheese,3,269,UNLEVELLED
hee haw,3,270,UNLEVELLED
hell or high water,3,271,A1
hell realm,3,272,UNLEVELLED
hello world,3,273,UNLEVELLED
het up,3,274,UNLEVELLED
hey rube,3,275,UNLEVELLED
hic et nunc,3,276,UNLEVELLED
his nibs,3,277,UNLEVELLED
holy ghost,3,278,UNLEVELLED
holy grail,3,279,UNLEVELLED
holy grails,3,280,UNLEVELLED
holy of holies,3,281,UNLEVELLED
holy roman emperor,3,282,UNLEVELLED
holy roman emperors,3,283,UNLEVELLED
holy roman empress,3,284,UNLEVELLED
holy roman empresses,3,285,UNLEVELLED
home rule,3,286,UNLEVELLED
homo sapiens,3,287,UNLEVELLED
homo sovieticus,3,288,UNLEVELLED
hot carl,3,289,UNLEVELLED
hot dog,3,290,UNLEVELLED
hot wheel,3,291,UNLEVELLED
house of commons,3,292,UNLEVELLED
how much,3,293,UNLEVELLED
in medias res,3,294,UNLEVELLED
internet of things,3,295,UNLEVELLED
iron triangle,3,296,UNLEVELLED
it girl,3,297,A2
it girls,3,298,UNLEVELLED
italian wedding soup,3,299,UNLEVELLED
italian wedding soups,3,300,UNLEVELLED
jack of all trades,3,301,UNLEVELLED
jacks of all trades,3,302,UNLEVELLED
java man,3,303,UNLEVELLED
jesus christ,3,304,UNLEVELLED
jet set,3,305,UNLEVELLED
killing fields,3,306,UNLEVELLED
king of kings,3,307,UNLEVELLED
kitchen cabinet,3,308,UNLEVELLED
kitchen sink,3,309,UNLEVELLED
knock knock,3,310,UNLEVELLED
krav maga,3,311,UNLEVELLED
kuiper belt,3,312,UNLEVELLED
kung flu,3,313,UNLEVELLED
kung pow penis,3,314,UNLEVELLED
la belle époque,3,315,UNLEVELLED
late antiquity,3,316,UNLEVELLED
lay by,3,317,UNLEVELLED
lay low,3,318,UNLEVELLED
lazy susan,3,319,UNLEVELLED
lazy susans,3,320,UNLEVELLED
lead out,3,321,UNLEVELLED
left turn,3,322,UNLEVELLED
level set,3,323,UNLEVELLED
lindy hop,3,324,UNLEVELLED
lindy hops,3,325,UNLEVELLED
little league,3,326,UNLEVELLED
little russian,3,327,UNLEVELLED
locker room,3,328,UNLEVELLED
lone ranger,3,329,UNLEVELLED
long covid,3,330,UNLEVELLED
long island,3,331,UNLEVELLED
long johns,3,332,UNLEVELLED
long peace,3,333,UNLEVELLED
long term,3,334,UNLEVELLED
love jones,3,335,UNLEVELLED
lovely jubbly,3,336,UNLEVELLED
low churchman,3,337,UNLEVELLED
magic cube,3,338,B1
maha bharata,3,339,UNLEVELLED
mahā bhārata,3,340,UNLEVELLED
main belt,3,341,UNLEVELLED
make believe,3,342,UNLEVELLED
make shift,3,343,UNLEVELLED
malibu bay breeze,3,344,UNLEVELLED
malibu bay breezes,3,345,UNLEVELLED
manifest destiny,3,346,UNLEVELLED
marine corps,3,347,UNLEVELLED
mary jane,3,348,UNLEVELLED
maunder minimum,3,349,UNLEVELLED
mea culpa,3,350,UNLEVELLED
mestiza de sangley,3,351,UNLEVELLED
mestizas de sangley,3,352,UNLEVELLED
mestizo de español,3,353,UNLEVELLED
mestizo de sangley,3,354,UNLEVELLED
mestizos de sangley,3,355,UNLEVELLED
mickey mouse,3,356,UNLEVELLED
minnesota nice,3,357,UNLEVELLED
mollie house,3,358,UNLEVELLED
mollie houses,3,359,UNLEVELLED
molly house,3,360,UNLEVELLED
molly houses,3,361,UNLEVELLED
mont blanc,3,362,UNLEVELLED
morning star,3,363,UNLEVELLED
morris dance,3,364,UNLEVELLED
morris dances,3,365,UNLEVELLED
mumbly joe,3,366,UNLEVELLED
mumbly joes,3,367,UNLEVELLED
mutt and jeff,3,368,UNLEVELLED
napoleon bigarreau,3,369,UNLEVELLED
napoleon bigarreaus,3,370,UNLEVELLED
native american,3,371,UNLEVELLED
negative nancies,3,372,UNLEVELLED
negative nancy,3,373,UNLEVELLED
negative nancys,3,374,UNLEVELLED
nervous nellie,3,375,UNLEVELLED
nervous nellies,3,376,UNLEVELLED
nervous nelly,3,377,UNLEVELLED
net art,3,378,UNLEVELLED
new english,3,379,UNLEVELLED
new prussian,3,380,UNLEVELLED
new wave,3,381,UNLEVELLED
next door,3,382,UNLEVELLED
night and day,3,383,UNLEVELLED
nip and tuck,3,384,UNLEVELLED
no contest,3,385,UNLEVELLED
no way,3,386,UNLEVELLED
north frisian,3,387,A2
north korean,3,388,A2
north northeast,3,389,A2
north northwest,3,390,A2
north pole,3,391,A2
north star,3,392,A2
nose to tail,3,393,UNLEVELLED
nought withstanding,3,394,UNLEVELLED
number one,3,395,A1
of course,3,396,UNLEVELLED
off angle,3,397,UNLEVELLED
off the hook,3,398,UNLEVELLED
oh my god particle,3,399,UNLEVELLED
oh my god particles,3,400,UNLEVELLED
ok boomer,3,401,UNLEVELLED
old earth creationism,3,402,UNLEVELLED
old hat,3,403,UNLEVELLED
old ned,3,404,UNLEVELLED
old prussian,3,405,UNLEVELLED
old school,3,406,UNLEVELLED
old town,3,407,UNLEVELLED
olive green,3,408,UNLEVELLED
omega point,3,409,UNLEVELLED
omicron variant,3,410,UNLEVELLED
on board,3,411,UNLEVELLED
one nation,3,412,A1
one on one,3,413,A1
oort cloud,3,414,UNLEVELLED
open sesame,3,415,UNLEVELLED
ore rotundo,3,416,UNLEVELLED
